,riskparity_nested,riskparity,riskparity_pylib
2020-02-18,100.0,100.0,100.0
2020-02-19,100.0,100.0,100.0
2020-02-20,100.49129286441803,100.34642878818512,100.34642878818512
2020-02-21,100.77631994609833,100.39201038951873,100.39201038951873
2020-02-24,99.65233070201874,98.82225916728973,98.82225916728973
2020-02-25,96.59979915065766,95.61056921863556,95.61056921863556
2020-02-26,96.1681514989853,95.22125876102447,95.22125876102447
2020-02-27,92.6406078699112,91.43750146694184,91.43750146694184
2020-02-28,91.40209966907501,90.45578063869476,90.45578063869476
2020-03-02,95.3858226694107,94.5331320356369,94.5331320356369
2020-03-03,96.71457118511199,95.47009532985687,95.47009532985687
2020-03-04,100.08857274074555,98.94827900333405,98.94827900333405
2020-03-05,100.84686389369965,99.33031330890655,99.33031330890655
2020-03-06,103.50768990688323,101.73541624393464,101.73541624393464
2020-03-09,100.94382493915559,98.71627280368807,98.71627280368807
2020-03-10,96.70836527881623,95.05867125873567,95.05867125873567
2020-03-11,89.99104797191622,88.32708207187655,88.32708207187655
2020-03-12,81.90030872535706,80.10918036136628,80.10918036136628
2020-03-13,82.09904515151979,80.76283135204316,80.76283135204316
2020-03-16,80.8939994621277,79.04430741977693,79.04430741977693
2020-03-17,77.96808660087586,76.2543748559952,76.2543748559952
2020-03-18,70.79442841815951,69.20086742324831,69.20086742324831
2020-03-19,71.09190972709658,69.64873766002657,69.64873766002657
2020-03-20,74.42257173395156,72.76707346839903,72.76707346839903
2020-03-23,79.19424901971816,77.32757805633544,77.32757805633544
2020-03-24,81.9403382000923,80.15781472702027,80.15781472702027
2020-03-25,81.78941811027525,80.01001701412204,80.01001701412204
2020-03-26,85.48988379631041,83.7458861497879,83.7458861497879
2020-03-27,87.0212174146652,85.01857419071197,85.01857419071197
2020-03-30,87.66163349876403,85.759460487175,85.759460487175
2020-03-31,85.23314377880095,83.46770772266389,83.46770772266389
2020-04-01,84.23356506271365,82.35164522991184,82.35164522991184
2020-04-02,86.63767653980258,84.69693755054477,84.6968131826401
2020-04-03,85.86841176700595,83.94318474941257,83.94334756622318
2020-04-06,90.63980204677584,88.80524390926364,88.8051857288361
2020-04-07,88.65215262470248,87.00318598880772,87.00335938644412
2020-04-08,90.24882962036136,88.63578173999791,88.63568400535588
2020-04-09,93.70069237670901,91.6522002481461,91.65151161155705
2020-04-13,93.24483462581638,91.40050569820407,91.4002853984833
2020-04-14,95.52488811721804,93.97894558506015,93.97856259574893
2020-04-15,95.23614910793307,93.65969423236851,93.65940689620976
2020-04-16,96.16673405170444,94.79877065334324,94.79853110618596
2020-04-17,95.8518798952103,94.65070094661718,94.65031981544499
2020-04-20,94.9581666801453,93.7703045576096,93.77028564872747
2020-04-21,93.55028803367618,91.9938170145035,91.99363198337558
2020-04-22,95.56784913520816,94.08075473346713,94.08048820762637
2020-04-23,95.62464945678714,94.17561834239963,94.17560507202151
2020-04-24,96.4421431770325,95.19010337696078,95.19013032951358
2020-04-27,95.5246207828522,94.43005781002047,94.43014252204898
2020-04-28,95.61755484924319,94.31543400821688,94.31537061157229
2020-04-29,97.01186406250002,96.16925333385471,96.16959356346133
2020-04-30,94.34195847282415,93.78090584087377,93.78149413681037
2020-05-01,93.07364085655217,92.16920757350925,92.16979030075078
2020-05-04,93.43193367004397,92.60363194713595,92.60419570655826
2020-05-05,93.87817120933536,93.13928459453585,93.1398444976807
2020-05-06,91.43370539360049,91.03805728282931,91.03901495094303
2020-05-07,94.29690977268224,93.91904622516637,93.92000094146734
2020-05-08,94.13929870891575,93.96272876949314,93.96369519653324
2020-05-11,93.37608627796176,93.36670671863558,93.36777700805668
2020-05-12,93.01454229602817,92.67265014820101,92.6735059818268
2020-05-13,93.0419374286652,92.45815362720492,92.45890010185245
2020-05-14,94.90289392280583,94.34065281925206,94.34137486763005
2020-05-15,94.75051052398686,94.2690905569077,94.27014653854374
2020-05-18,93.9121362606049,93.58384724369054,93.58579618415837
2020-05-19,94.19848980102543,93.8402331766129,93.8421155361176
2020-05-20,95.08051800746922,94.86561437988286,94.86776691493992
2020-05-21,94.42019650497441,94.19308212566384,94.1950762748719
2020-05-22,95.36710516185768,95.08848556175239,95.09025010013588
2020-05-26,94.38630316848763,94.19050022258766,94.19291705398567
2020-05-27,94.95798779029855,94.80907344837198,94.81186067924509
2020-05-28,95.22370460186013,94.92554424057016,94.92804467144022
2020-05-29,96.58024441318521,96.30699869880685,96.30944943561563
2020-06-01,96.62158342094429,96.34237952137,96.34498472785957
2020-06-02,96.37599130916603,96.17924896545419,96.18203844814309
2020-06-03,94.95967727127082,94.88282058963783,94.88596461067208
2020-06-04,93.47623360366829,93.43107568302163,93.43472368583689
2020-06-05,92.80520751247414,93.01721596145639,93.02123376522073
2020-06-08,94.42632043743143,94.58106984863291,94.58503889980325
2020-06-09,94.991142824936,95.22335823650369,95.2271922439576
2020-06-10,96.95282846469887,97.18881309471139,97.19244278430948
2020-06-11,95.43992374992379,95.20912183361062,95.21114169616708
2020-06-12,94.98764316558847,94.87217631015787,94.87473611564646
2020-06-15,95.73688845386513,95.7096254409791,95.7124594915391
2020-06-16,95.17222736072547,95.35854710998544,95.36221530284891
2020-06-17,95.46357574539194,95.64271468219766,95.6462508289338
2020-06-18,96.21111290855417,96.39669898014077,96.39995112648019
2020-06-19,96.02662984542856,96.27603465480813,96.27955755691538
2020-06-22,96.49791983013162,96.80046348228464,96.80395283145913
2020-06-23,96.4210776348115,96.83164831676493,96.83562266845712
2020-06-24,96.10722027378091,96.28675681648264,96.28988516712198
2020-06-25,96.16366416511545,96.5057656179429,96.50913476638803
2020-06-26,96.28169769496927,96.34059631996165,96.34314267063151
2020-06-29,97.10129656963358,97.18948809700024,97.19189644718182
2020-06-30,97.68032413997659,97.89366778411878,97.89603013591778
2020-07-01,97.93657600631722,98.15713360252393,98.15953395404827
2020-07-02,98.61360674667367,98.87981838722241,98.88216673831951
2020-07-06,98.64574811439523,99.24272068214428,99.24502503376019
2020-07-07,99.17297185993203,99.68088336219797,99.68341971378337
2020-07-08,99.48113590469367,100.06346047782908,100.06594282932292
2020-07-09,100.2997890899659,100.97547361946117,100.97823797016154
2020-07-10,100.57533117370615,101.2551930534364,101.25791340541852
2020-07-13,100.28570999431619,100.74887908706678,100.75162943859114
2020-07-14,100.98042226085671,101.49391073799147,101.49671108875287
2020-07-15,100.74528145771036,101.36083373451247,101.36350608539594
2020-07-16,101.30864915351877,101.75105167465223,101.75383002529158
2020-07-17,101.74302707366952,102.06056870117199,102.06333705272687
2020-07-20,102.39296060695658,103.06160313529982,103.0643794870378
2020-07-21,102.51119162521371,103.08565668678295,103.08840903720868
2020-07-22,103.42854327316296,103.93794180450453,103.94075815563215
2020-07-23,103.25717116794598,103.46650580749525,103.46958015880598
2020-07-24,102.6737652645112,102.83308981132521,102.83620616245283
2020-07-27,102.19186428699506,102.6138858245851,102.61688417644514
2020-07-28,103.11669072952283,103.29110561370862,103.29424396495833
2020-07-29,103.9244287492753,104.21210333061232,104.21513568134321
2020-07-30,104.50567642707837,104.81208897666944,104.81523932743086
2020-07-31,105.03792058963788,105.50101314926161,105.50413950023665
