"Citation: Lawrence H. Officer and Samuel H. Williamson, 'The Price of Gold, 1257-2014,' MeasuringWorth, 2020. "
"Year","New York Market Price (U.S. dollars per fine ounce)","London Market Price (British &pound; [1718-1949] or U.S. $ [1950-2011] per fine ounce)"
"1800","19.39","4.26"
"1801","19.39","4.29"
"1802","19.39","4.31"
"1803","19.39","4.34"
"1804","19.39","4.36"
"1805","19.39","4.36"
"1806","19.39","4.42"
"1807","19.39","4.47"
"1808","19.39","4.52"
"1809","19.39","4.58"
"1810","19.39","4.63"
"1811","19.39","5.19"
"1812","19.39","5.48"
"1813","19.39","5.76"
"1814","20.10","5.21"
"1815","21.64","4.99"
"1816","20.95","4.36"
"1817","19.46","4.33"
"1818","19.39","4.44"
"1819","19.39","4.36"
"1820","19.39","4.25"
"1821","19.39","4.25"
"1822","19.39","4.24"
"1823","19.39","4.23"
"1824","19.39","4.23"
"1825","19.39","4.24"
"1826","19.39","4.23"
"1827","19.39","4.23"
"1828","19.39","4.23"
"1829","19.39","4.24"
"1830","19.39","4.24"
"1831","19.39","4.25"
"1832","19.39","4.24"
"1833","19.39","4.24"
"1834","19.94","4.24"
"1835","20.69","4.24"
"1836","20.69","4.24"
"1837","21.64","4.24"
"1838","20.86","4.24"
"1839","20.67","4.25"
"1840","20.67","4.24"
"1841","20.67","4.24"
"1842","20.67","4.24"
"1843","20.67","4.24"
"1844","20.67","4.24"
"1845","20.67","4.24"
"1846","20.67","4.24"
"1847","20.67","4.24"
"1848","20.67","4.24"
"1849","20.67","4.24"
"1850","20.67","4.24"
"1851","20.67","4.24"
"1852","20.67","4.24"
"1853","20.67","4.24"
"1854","20.67","4.24"
"1855","20.67","4.24"
"1856","20.67","4.24"
"1857","20.70","4.24"
"1858","20.67","4.24"
"1859","20.67","4.24"
"1860","20.67","4.24"
"1861","20.67","4.24"
"1862","23.42","4.24"
"1863","30.02","4.24"
"1864","42.03","4.24"
"1865","32.52","4.24"
"1866","29.13","4.24"
"1867","28.57","4.24"
"1868","28.88","4.24"
"1869","27.49","4.24"
"1870","23.75","4.24"
"1871","23.09","4.24"
"1872","23.24","4.24"
"1873","23.52","4.24"
"1874","22.99","4.24"
"1875","23.75","4.24"
"1876","23.05","4.24"
"1877","21.66","4.24"
"1878","20.84","4.24"
"1879","20.67","4.24"
"1880","20.67","4.24"
"1881","20.67","4.24"
"1882","20.67","4.24"
"1883","20.67","4.24"
"1884","20.67","4.24"
"1885","20.67","4.24"
"1886","20.67","4.24"
"1887","20.67","4.24"
"1888","20.67","4.24"
"1889","20.67","4.24"
"1890","20.67","4.24"
"1891","20.67","4.25"
"1892","20.67","4.25"
"1893","20.67","4.25"
"1894","20.67","4.24"
"1895","20.67","4.24"
"1896","20.67","4.25"
"1897","20.67","4.25"
"1898","20.67","4.25"
"1899","20.67","4.24"
"1900","20.67","4.25"
"1901","20.67","4.25"
"1902","20.67","4.24"
"1903","20.67","4.25"
"1904","20.67","4.25"
"1905","20.67","4.24"
"1906","20.67","4.25"
"1907","20.67","4.25"
"1908","20.67","4.25"
"1909","20.67","4.24"
"1910","20.67","4.24"
"1911","20.67","4.24"
"1912","20.67","4.24"
"1913","20.67","4.24"
"1914","20.67","4.24"
"1915","20.67","4.24"
"1916","20.67","4.24"
"1917","20.67","4.24"
"1918","20.67","4.24"
"1919","20.67","4.50"
"1920","20.67","5.65"
"1921","20.67","5.35"
"1922","20.67","4.67"
"1923","20.67","4.51"
"1924","20.67","4.69"
"1925","20.67","4.27"
"1926","20.67","4.25"
"1927","20.67","4.25"
"1928","20.67","4.25"
"1929","20.67","4.25"
"1930","20.67","4.25"
"1931","20.67","4.63"
"1932","20.67","5.90"
"1933","24.44","6.24"
"1934","34.94","6.88"
"1935","35.00","7.11"
"1936","35.00","7.01"
"1937","35.00","7.04"
"1938","35.00","7.13"
"1939","35.00","7.72"
"1940","35.00","8.40"
"1941","35.00","8.40"
"1942","35.00","8.40"
"1943","35.00","8.40"
"1944","35.00","8.40"
"1945","35.00","8.40"
"1946","35.00","8.40"
"1947","35.00","8.40"
"1948","35.00","8.40"
"1949","35.00","8.40"
"1950","35.00","34.71"
"1951","35.00","34.71"
"1952","35.00","34.71"
"1953","35.00","34.71"
"1954","35.00","34.96"
"1955","35.00","35.01"
"1956","35.00","35.00"
"1957","35.00","34.95"
"1958","35.00","35.10"
"1959","35.00","35.09"
"1960","35.00","35.28"
"1961","35.00","35.15"
"1962","35.00","35.10"
"1963","35.00","35.09"
"1964","35.00","35.09"
"1965","35.00","35.13"
"1966","35.00","35.17"
"1967","35.00","35.19"
"1968","39.26","38.69"
"1969","41.51","41.09"
"1970","36.41","35.94"
"1971","41.25","40.80"
"1972","58.60","58.16"
"1973","97.81","97.32"
"1974","159.74","159.26"
"1975","161.49","161.02"
"1976","125.32","124.84"
"1977","148.31","147.71"
"1978","193.55","193.22"
"1979","307.50","306.68"
"1980","612.56","612.56"
"1981","459.64","460.03"
"1982","375.91","375.67"
"1983","424.00","424.35"
"1984","360.66","360.48"
"1985","317.66","317.28"
"1986","368.24","367.51"
"1987","447.95","446.47"
"1988","438.31","437.05"
"1989","382.58","381.43"
"1990","384.93","383.47"
"1991","363.29","362.18"
"1992","344.97","343.73"
"1993","360.91","359.77"
"1994","385.42","384.01"
"1995","385.50","384.16"
"1996","389.09","387.69"
"1997","332.39","331.10"
"1998","295.24","294.16"
"1999","279.91","278.64"
"2000","280.10","279.03"
"2001","272.22","271.04"
"2002","311.33","309.68"
"2003","364.80","363.32"
"2004","410.52","409.17"
"2005","446.00","444.45"
"2006","606.00","603.77"
"2007","699.00","695.39"
"2008","874.00","871.96"
"2009","975.00","972.35"
"2010","1,227.00","1,224.53"
"2011","1,572.00","1,571.52"
"2012","1,700.00","1,668.98"
"2013","1,415.00","1,411.23"
"2014","1,269.00","1,266.40"
"2015","1,163.00","1,160.06"
"2016","1,252.00","1,250.74"
"2017","1,260.00","1,257.12"
"2018","1,270.00","1,268.49"
"2019","1,390.00","1,392.60"
